Model,Article Count,Article ID,Entity,Start,End
en_ner_bionlp13cg_md,1000,23160481,tumor cells,1229,1240
en_ner_bionlp13cg_md,1000,23168115,5 ht1a,1210,1216
en_ner_bionlp13cg_md,1000,23223020,glycogen,1008,1016
en_ner_bionlp13cg_md,1000,22508482,slug,1221,1225
en_ner_bionlp13cg_md,1000,22876950,plasma,889,895
en_ner_bionlp13cg_md,1000,23043183,humans,165,171
en_ner_bionlp13cg_md,1000,23223020,nhgu,651,655
en_ner_bionlp13cg_md,1000,23190031,mangiferin,407,417
en_ner_bionlp13cg_md,1000,23202851,9 o 3 aryl 2 propargyl oxime ketolides 8,12,53
en_ner_bionlp13cg_md,1000,23044992,bone marrow,992,1003
en_ner_bionlp13cg_md,1000,23084047,testes,837,843
en_ner_bionlp13cg_md,1000,23093023,pdk 1,1758,1763
en_ner_bionlp13cg_md,1000,23229510,atf4,595,599
en_ner_bionlp13cg_md,1000,23145985,cells,96,101
en_ner_bionlp13cg_md,1000,23220512,ethanol,544,551
en_ner_bionlp13cg_md,1000,23179349,wistar rats,191,202
en_ner_bionlp13cg_md,1000,23168114,stp,598,601
en_ner_bionlp13cg_md,1000,23237384,cell,976,980
en_ner_bionlp13cg_md,1000,23027505,3d networks,18,29
en_ner_bionlp13cg_md,1000,22401710,eudragit,655,663
en_ner_bionlp13cg_md,1000,23146695,tumor necrosis factor alpha,525,552
en_ner_bionlp13cg_md,1000,23200943,srd5a2,1120,1126
en_ner_bionlp13cg_md,1000,23125284,fam36a,593,599
en_ner_bionlp13cg_md,1000,22313530,medial habenula,1405,1420
en_ner_bionlp13cg_md,1000,22312035,milk samples,75,87
en_ner_bionlp13cg_md,1000,23085095,buspirone,769,778
en_ner_bionlp13cg_md,1000,23232078,mmps,623,627
en_ner_bionlp13cg_md,1000,23237860,aldh,560,564
en_ner_bionlp13cg_md,1000,23167531,m3,949,951
en_ner_bionlp13cg_md,1000,23223177,beclin1,414,421
en_ner_bionlp13cg_md,1000,22982776,dfp,1402,1405
en_ner_bionlp13cg_md,1000,23173549,mouse,907,912
en_ner_bionlp13cg_md,1000,23200942,tabun,855,860
en_ner_bionlp13cg_md,1000,23178950,hpma based copolymers,265,286
en_ner_bionlp13cg_md,1000,23182766,30mg kg,836,843
en_ner_bionlp13cg_md,1000,22898566,plasma lipid hydroperoxide,173,199
en_ner_bionlp13cg_md,1000,23122099,folates,58,65
en_ner_bionlp13cg_md,1000,23127567,oleandrin,661,670
en_ner_bionlp13cg_md,1000,23195959,pakt,386,390
en_ner_bionlp13cg_md,1000,23103224,cisplatin,139,148
en_ner_bionlp13cg_md,1000,23246469,gd dota,293,300
en_ner_bionlp13cg_md,1000,22893614,cd11b,1089,1094
en_ner_bionlp13cg_md,1000,23086037,nlrp3,352,357
en_ner_bionlp13cg_md,1000,23201371,mnng,1249,1253
en_ner_bionlp13cg_md,1000,22861486,dorsomedial hypothalamic nucleus,37,69
en_ner_bionlp13cg_md,1000,22719017,lsl 61122,305,314
en_ner_bionlp13cg_md,1000,23132909,pre β like hdl,431,445
en_ner_bionlp13cg_md,1000,23123224,cell,1002,1006
en_ner_bionlp13cg_md,1000,22665062,c myc nucleolar,967,982
en_ner_bionlp13cg_md,1000,22564442,amn082,429,435
en_ner_bionlp13cg_md,1000,22236017,linalool,382,390
en_ner_bionlp13cg_md,1000,22607130,apigenin,1144,1152
en_ner_bionlp13cg_md,1000,23103446,daunorubicin,1032,1044
en_ner_bionlp13cg_md,1000,22982248,pias2,1252,1257
en_ner_bionlp13cg_md,1000,23110812,blood,1051,1056
en_ner_bionlp13cg_md,1000,23201927,sal b,292,297
en_ner_bionlp13cg_md,1000,23248329,raji,395,399
en_ner_bionlp13cg_md,1000,23211363, npa,1087,1094
en_ner_bionlp13cg_md,1000,23249751,argonaute,39,48
en_ner_bionlp13cg_md,1000,23024204,ssat2,332,337
en_ner_bionlp13cg_md,1000,23151002,cellular,537,545
en_ner_bionlp13cg_md,1000,23246481,wogonin,0,7
en_ner_bionlp13cg_md,1000,23197647,rfc1,1361,1365
en_ner_bionlp13cg_md,1000,22948773,patients,1099,1107
en_ner_bionlp13cg_md,1000,23199989,β damascenone,677,690
en_ner_bionlp13cg_md,1000,23238121,adult long bones,557,573
en_ner_bionlp13cg_md,1000,23225346,mouse,369,374
en_ner_bionlp13cg_md,1000,22694127,ibuprofen,1418,1427
en_ner_bionlp13cg_md,1000,23086037,metformin,1190,1199
en_ner_bionlp13cg_md,1000,23127916,patients,348,356
en_ner_bionlp13cg_md,1000,23210742,aqueous,402,409
en_ner_bionlp13cg_md,1000,22968082,btbr mice,1524,1533
en_ner_bionlp13cg_md,1000,22864849,chrysin,156,163
en_ner_bionlp13cg_md,1000,23150428,cyp26a1,866,873
en_ner_bionlp13cg_md,1000,23252950,bu,726,728
en_ner_bionlp13cg_md,1000,22438103,seaweed,355,362
en_ner_bionlp13cg_md,1000,23200943,akr1c1,1325,1331
en_ner_bionlp13cg_md,1000,22508482,ovarian cancer cell,201,220
en_ner_bionlp13cg_md,1000,23220290,sdc,692,695
en_ner_bionlp13cg_md,1000,23046379,interleukin il 6,0,18
en_ner_bionlp13cg_md,1000,22456000,vitexin,55,62
en_ner_bionlp13cg_md,1000,22694127,gastrointestinal,1430,1446
en_ner_bionlp13cg_md,1000,23111876,cardiovascular,1428,1442
en_ner_bionlp13cg_md,1000,23142844,liposomes,681,690
en_ner_bionlp13cg_md,1000,22935511,anti cocaine antibody,291,312
en_ner_bionlp13cg_md,1000,23086141,apelin,190,196
en_ner_bionlp13cg_md,1000,23065141,t cell,1293,1299
en_ner_bionlp13cg_md,1000,22717743,alipogene tiparvovec,545,565
en_ner_bionlp13cg_md,1000,22491024,parkinson s disease,178,197
en_ner_bionlp13cg_md,1000,23017390,sinapinic,357,366
en_ner_bionlp13cg_md,1000,23165930,bone marrow,1240,1251
en_ner_bionlp13cg_md,1000,23182739,hela,268,272
en_ner_bionlp13cg_md,1000,23146695,alb,397,400
en_ner_bionlp13cg_md,1000,22999711,human,118,123
en_ner_bionlp13cg_md,1000,23146755,ca 2 ,318,323
en_ner_bionlp13cg_md,1000,22743996,mitochondria,593,605
en_ner_bionlp13cg_md,1000,22851333,heart,1354,1359
en_ner_bionlp13cg_md,1000,22995584,epo b,175,180
en_ner_bionlp13cg_md,1000,23134558,cellular,929,937
en_ner_bionlp13cg_md,1000,23126280,adipocytes,1196,1206
en_ner_bionlp13cg_md,1000,23146750,pfoa,929,933
en_ner_bionlp13cg_md,1000,23022271,cellular,383,391
en_ner_bionlp13cg_md,1000,23215039,legumain,295,303
en_ner_bionlp13cg_md,1000,23159886,sil,1243,1246
en_ner_bionlp13cg_md,1000,22564440,dnmt1,1183,1188
en_ner_bionlp13cg_md,1000,22974972,hfd,718,721
en_ner_bionlp13cg_md,1000,23201927,pi3k,1178,1182
en_ner_bionlp13cg_md,1000,23228886,dityrosine,423,433
en_ner_bionlp13cg_md,1000,23247545,tissue,2239,2245
en_ner_bionlp13cg_md,1000,23153668,conjunctival cells,1215,1233
en_ner_bionlp13cg_md,1000,23046379,mice,1182,1186
en_ner_bionlp13cg_md,1000,23146761,biliary glutathione,507,526
en_ner_bionlp13cg_md,1000,23229556,xyloglucan,1195,1205
en_ner_bionlp13cg_md,1000,23182946,cerebellar,1388,1398
en_ner_bionlp13cg_md,1000,23146755,tg,921,923
en_ner_bionlp13cg_md,1000,23092751,dna,622,625
en_ner_bionlp13cg_md,1000,23041042,a ,1211,1213
en_ner_bionlp13cg_md,1000,23044908,pth 1 84,935,943
en_ner_bionlp13cg_md,1000,23123224,ad,1612,1614
en_ner_bionlp13cg_md,1000,23089045,acetylcholinesterase,53,73
en_ner_bionlp13cg_md,1000,22564031,aaes,486,490
en_ner_bionlp13cg_md,1000,23256440,skin,1082,1086
en_ner_bionlp13cg_md,1000,22525272,k,1260,1261
en_ner_bionlp13cg_md,1000,22614004,mitochondria derived α ketoglutarate,1088,1124
en_ner_bionlp13cg_md,1000,23238103,24 week old rats,1035,1051
en_ner_bionlp13cg_md,1000,23220489,women,1731,1736
en_ner_bionlp13cg_md,1000,23085095,1 2 pyrimidinyl piperazine,1038,1065
en_ner_bionlp13cg_md,1000,23177536,epilepsy,1591,1599
en_ner_bionlp13cg_md,1000,23091188,glycocholic acid,1487,1503
en_ner_bionlp13cg_md,1000,23136129,pgrn,1120,1124
en_ner_bionlp13cg_md,1000,23017425,tissues,767,774
en_ner_bionlp13cg_md,1000,23122142,sunup,563,568
en_ner_bionlp13cg_md,1000,23017425,fruits,59,65
en_ner_bionlp13cg_md,1000,22982569,trans stimulation,1168,1185
en_ner_bionlp13cg_md,1000,22690834,colloidal formulations like solid lipid,42,81
en_ner_bionlp13cg_md,1000,23237860,non phosphorylating,111,130
en_ner_bionlp13cg_md,1000,22986947,saline,696,702
en_ner_bionlp13cg_md,1000,23194828,brain,849,854
en_ner_bionlp13cg_md,1000,23010565,skin,1479,1483
en_ner_bionlp13cg_md,1000,22736625,rats,303,307
en_ner_bionlp13cg_md,1000,23131595,tubule,683,689
en_ner_bionlp13cg_md,1000,23164921,astrocytes,459,469
en_ner_bionlp13cg_md,1000,22646532,blood,801,806
en_ner_bionlp13cg_md,1000,23129783,sm,182,184
en_ner_bionlp13cg_md,1000,23143803,oil,116,119
en_ner_bionlp13cg_md,1000,23022324,cytoskeletal,1535,1547
en_ner_bionlp13cg_md,1000,23132909,cholesterol,1033,1044
en_ner_bionlp13cg_md,1000,23179349,copper,1320,1326
en_ner_bionlp13cg_md,1000,23197647,mtx,1524,1527
en_ner_bionlp13cg_md,1000,23205634,abcg2,1160,1165
en_ner_bionlp13cg_md,1000,23063927,acetylcholinesterase,289,309
en_ner_bionlp13cg_md,1000,23137956,sodium,358,364
en_ner_bionlp13cg_md,1000,22614004,dichloroacetate,411,426
en_ner_bionlp13cg_md,1000,23127916,gastrointestinal stromal tumours,27,59
en_ner_bionlp13cg_md,1000,23190297,liver microsomes,82,98
en_ner_bionlp13cg_md,1000,23117151,men,60,63
en_ner_bionlp13cg_md,1000,23238299,bcrp,1337,1341
en_ner_bionlp13cg_md,1000,23246611,testis,286,292
en_ner_bionlp13cg_md,1000,23182087,phthalimide,43,54
en_ner_bionlp13cg_md,1000,22313530,ly459477,366,374
en_ner_bionlp13cg_md,1000,22610748,liver,1454,1459
en_ner_bionlp13cg_md,1000,22451331,ethanol,728,735
en_ner_bionlp13cg_md,1000,22974972,mice,581,585
en_ner_bionlp13cg_md,1000,23026138,striatum,1127,1135
en_ner_bionlp13cg_md,1000,22956413,thyroid fine needle,237,256
en_ner_bionlp13cg_md,1000,23150428,human,71,76
en_ner_bionlp13cg_md,1000,22687345,head trauma,535,546
en_ner_bionlp13cg_md,1000,23182946,astrocyte,338,347
en_ner_bionlp13cg_md,1000,22712554,amino acids,368,379
en_ner_bionlp13cg_md,1000,23126495,salvia chrysophylla stapf,51,76
en_ner_bionlp13cg_md,1000,23103351,jejunum,1708,1715
en_ner_bionlp13cg_md,1000,23207409,chromones,666,675
en_ner_bionlp13cg_md,1000,23223177,ampk induced,257,269
en_ner_bionlp13cg_md,1000,23237733,liver,323,328
en_ner_bionlp13cg_md,1000,23059813,zebrafish alx1,929,943
en_ner_bionlp13cg_md,1000,23122081,oil,618,621
en_ner_bionlp13cg_md,1000,22936348,ch3ph,141,146
en_ner_bionlp13cg_md,1000,23129806,fat body dsir2,770,784
en_ner_bionlp13cg_md,1000,23146691,hmgb1,27,32
en_ner_bionlp13cg_md,1000,23174144,rainbow trout,205,218
en_ner_bionlp13cg_md,1000,23024204,mice,555,559
en_ner_bionlp13cg_md,1000,23235923,adrenal potassium,629,646
en_ner_bionlp13cg_md,1000,22798249,ghf,107,110
en_ner_bionlp13cg_md,1000,23177260,ginkgo biloba,1214,1227
en_ner_bionlp13cg_md,1000,23249624,braf,94,98
en_ner_bionlp13cg_md,1000,23220512,gk,22,24
en_ner_bionlp13cg_md,1000,23256715,lung,105,109
en_ner_bionlp13cg_md,1000,23103351,jejunal,982,989
en_ner_bionlp13cg_md,1000,23000445,cellular,654,662
en_ner_bionlp13cg_md,1000,23122331,ew29ch,804,810
en_ner_bionlp13cg_md,1000,23063927,ache ephb4,1129,1139
en_ner_bionlp13cg_md,1000,23169608,m5 2,1473,1477
en_ner_bionlp13cg_md,1000,23132866,prostate cancer cells,1116,1137
en_ner_bionlp13cg_md,1000,23194408,rats,1368,1372
en_ner_bionlp13cg_md,1000,23200942,sarin,1167,1172
