article,entity,start,end,highest_ratio,best_match_annotation_article,best_match_annotation_entity,best_match_similarity_ratio,best_match_annotation_start,best_match_annotation_end
23117151,2 3 7 8 tetrachlorodibenzo p dioxin,75,110,100,23117151,2 3 7 8 tetrachlorodibenzo p dioxin,100,75,110
23246798,metformin,92,101,100,23246798,metformin,100,92,101
22966073,cysteines,183,192,100,22966073,cysteines,100,183,192
23024204,triethylenetetramine,0,20,100,23024204,triethylenetetramine,100,0,20
23219683,fe,239,241,100,23219683,fe,100,239,241
22239172,viridicatic acid,334,350,100,22239172,viridicatic acid,100,334,350
23175103,co 3 o 4,46,54,94,23175103,co 3 o 4 ,94,46,55
23142599,2 3 7 8 tcdd,905,917,100,23142599,2 3 7 8 tcdd,100,905,917
23063689,diazepam,740,748,100,23063689,diazepam,100,740,748
23153618,lopinavir,963,972,100,23153618,lopinavir,100,963,972
23168115,5 ht,844,848,100,23168115,5 ht,100,844,848
23202847,chalcone,14,22,100,23202847,chalcone,100,14,22
23235690,si fe,22,27,57,23235690,si,57,22,24
23246469,gd dtpa,274,281,100,23246469,gd dtpa,100,274,281
23159886,nac,1436,1439,100,23159886,nac,100,1436,1439
23199987,spermine,402,410,100,23199987,spermine,100,402,410
23099503,pmf ort,669,676,60,23099503,pmf,60,669,672
23220290,sdc,692,695,100,23220290,sdc,100,692,695
23200942,soman,1122,1127,100,23200942,soman,100,1122,1127
23187065,fatty acid alkyl esters,159,182,100,23187065,fatty acid alkyl esters,100,159,182
23111876,amitriptyline,1469,1482,100,23111876,amitriptyline,100,1469,1482
23164932,3 np,1078,1082,100,23164932,3 np,100,1078,1082
23089250,selenium,694,702,100,23089250,selenium,100,694,702
23161873,sugar,206,211,100,23161873,sugar,100,206,211
23230905,au,466,468,100,23230905,au,100,466,468
23240995,silicon,1329,1336,100,23240995,silicon,100,1329,1336
22616839,tween,337,342,77,22616839,tween 60,77,337,345
22532499,vescalagin,714,724,100,22532499,vescalagin,100,714,724
23017425,polymethoxylated flavones,927,952,100,23017425,polymethoxylated flavones,100,927,952
23159886,nac,904,907,100,23159886,nac,100,904,907
23201092,gnih,1157,1161,100,23201092,gnih,100,1157,1161
23017411, 2 hydroxypropyl γ cyclodextrin,211,243,100,23017411, 2 hydroxypropyl γ cyclodextrin,100,211,243
23230905,au,1244,1246,100,23230905,au,100,1244,1246
23190093,peg,57,60,100,23190093,peg,100,57,60
23206865,naphthalimides,163,177,100,23206865,naphthalimides,100,163,177
23210786,cinnamtannin b1,1262,1277,100,23210786,cinnamtannin b1,100,1262,1277
23135549,cd,9,11,100,23135549,cd,100,9,11
23146761,egcg,1279,1283,100,23146761,egcg,100,1279,1283
23063689,benzodiazepines,379,394,100,23063689,benzodiazepines,100,379,394
23166012,sdbs,34,38,100,23166012,sdbs,100,34,38
22796428,dopamine,213,221,100,22796428,dopamine,100,213,221
23220614,iso,185,188,100,23220614,iso,100,185,188
22718571,swertiamarin,54,66,100,22718571,swertiamarin,100,54,66
23052190,atropine,667,675,100,23052190,atropine,100,667,675
22995584,taxanes,75,82,100,22995584,taxanes,100,75,82
22939001,malononitrile,152,165,100,22939001,malononitrile,100,152,165
23204111,tcdd,1020,1024,100,23204111,tcdd,100,1020,1024
23122161,no,814,816,100,23122161,no,100,814,816
23135241,agomelatine,611,622,100,23135241,agomelatine,100,611,622
22951949,dedtc,456,461,100,22951949,dedtc,100,456,461
23246798,camphor,831,838,100,23246798,camphor,100,831,838
22697341,diflunisal,97,107,100,22697341,diflunisal,100,97,107
23169609,pf 04971729,34,45,100,23169609,pf 04971729,100,34,45
23230133,danofloxacin,652,664,100,23230133,danofloxacin,100,652,664
23146758,androstenedione,208,223,100,23146758,androstenedione,100,208,223
23228886,thp,1251,1254,100,23228886,thp,100,1251,1254
23238226,sige si cr,365,375,33,23238226,si,33,370,372
22956628,arsenic,1537,1544,100,22956628,arsenic,100,1537,1544
22494026,3 o rhamnocitrin 6 o benzoyl β d glucopyranoside,26,74,100,22494026,3 o rhamnocitrin 6 o benzoyl β d glucopyranoside,100,26,74
23076766,dox msns,781,789,55,23076766,dox,55,781,784
23164921,catalpol,1253,1261,100,23164921,catalpol,100,1253,1261
22591175,hpcd,347,351,100,22591175,hpcd,100,347,351
23164932,3 np,23,27,100,23164932,3 np,100,23,27
22951949,nitrogen ,21,30,94,22951949,nitrogen,94,21,29
23086141,cort,938,942,100,23086141,cort,100,938,942
23233324,chlorothalonil,1259,1273,100,23233324,chlorothalonil,100,1259,1273
23154533,mmi,1154,1157,100,23154533,mmi,100,1154,1157
23052190,crm,550,553,100,23052190,crm,100,550,553
23202442, 13 c,764,769,100,23202442, 13 c,100,764,769
22443216,γ cadinene,800,810,100,22443216,γ cadinene,100,800,810
23024204,teta,815,819,100,23024204,teta,100,815,819
23202847,bisulfones,245,255,100,23202847,bisulfones,100,245,255
23059509,cd,404,406,100,23059509,cd,100,404,406
23063623,bic,149,152,100,23063623,bic,100,149,152
23065531,n diethyl 2 2 4 2 18 f fluoroethoxy phenyl 5 7dimethylpyrazolo 1 5a pyrimidin 3 yl acetamide,18,115,99,23065531,n n diethyl 2 2 4 2 18 f fluoroethoxy phenyl 5 7dimethylpyrazolo 1 5a pyrimidin 3 yl acetamide,99,16,115
23044908,zoledronic acid,724,739,100,23044908,zoledronic acid,100,724,739
23175103,co,459,461,100,23175103,co,100,459,461
22809709,dihydro β erythroidinehydrobromide,1296,1330,100,22809709,dihydro β erythroidinehydrobromide,100,1296,1330
23211363,cocaine,1844,1851,100,23211363,cocaine,100,1844,1851
23200942,organophosphate,92,107,100,23200942,organophosphate,100,92,107
22694127,ibuprofen s,1004,1015,90,22694127,ibuprofen,90,1004,1013
23010360,gs967,283,288,100,23010360,gs967,100,283,288
22985736,di 2 ethyl hexyl phthalate,0,26,100,22985736,di 2 ethyl hexyl phthalate,100,0,26
23017392,vitamin c,347,356,100,23017392,vitamin c,100,347,356
23142844,cholesterol,753,764,100,23142844,cholesterol,100,753,764
23250808,esculetin,267,276,100,23250808,esculetin,100,267,276
23099319,dom,605,608,100,23099319,dom,100,605,608
23182766,high cholesterol diet,946,967,69,23182766,cholesterol,69,951,962
23118486,sulfate ions,843,855,74,23118486,sulfate,74,843,850
23174748,r 123,1193,1198,100,23174748,r 123,100,1193,1198
23202847,chalcone,86,94,100,23202847,chalcone,100,86,94
23124594,leaves,30,36,38,23124594,stevioside,38,25,35
23201179,avp,159,162,100,23201179,avp,100,159,162
23200942,sarin,151,156,100,23200942,sarin,100,151,156
22813627,minp g ,588,595,92,22813627,minp g,92,588,594
23020788,abiraterone,1211,1222,100,23020788,abiraterone,100,1211,1222
22581512,α pinene,703,711,100,22581512,α pinene,100,703,711
23247048,aldosterone,846,857,100,23247048,aldosterone,100,846,857
23149118,atrazine,1613,1621,100,23149118,atrazine,100,1613,1621
23137956,egcg,639,643,100,23137956,egcg,100,639,643
22348222,sesquiterpene hydrocarbons,464,490,100,22348222,sesquiterpene hydrocarbons,100,464,490
23160530,glucose,785,792,100,23160530,glucose,100,785,792
23208955,gdp ,774,778,86,23208955,gdp,86,774,777
22989775,carbamates,1116,1126,100,22989775,carbamates,100,1116,1126
23111950,mg,1466,1468,100,23111950,mg,100,1466,1468
23237384,sulfonylureas,756,769,100,23237384,sulfonylureas,100,756,769
23089250,semet,1862,1867,100,23089250,semet,100,1862,1867
23122094,terpene alcohols,945,961,100,23122094,terpene alcohols,100,945,961
23179349,fructose,1440,1448,100,23179349,fructose,100,1440,1448
22525272,atp,1472,1475,100,22525272,atp,100,1472,1475
22691108,aromadendrine,469,482,100,22691108,aromadendrine,100,469,482
23058251,imidacloprid,1658,1670,100,23058251,imidacloprid,100,1658,1670
22537580,chukrasine f,88,100,100,22537580,chukrasine f,100,88,100
23122151,quercitrin,731,741,100,23122151,quercitrin,100,731,741
23207409,thiazolylhydrazones,699,718,100,23207409,thiazolylhydrazones,100,699,718
23136062,fe 3 ,45,51,100,23136062,fe 3 ,100,45,51
23079545,arg test,957,965,55,23079545,arg,55,957,960
23175103,co 2 ,1200,1206,100,23175103,co 2 ,100,1200,1206
22998221,span60,349,355,100,22998221,span60,100,349,355
23172734,nc 60 ,258,264,100,23172734,nc 60 ,100,258,264
22273350,triterpenes,266,277,100,22273350,triterpenes,100,266,277
23122161,pge 2,1067,1072,91,23122161,pge 2 ,91,1067,1073
22372659,verbascoside,334,346,100,22372659,verbascoside,100,334,346
23230133,danofloxacin,928,940,100,23230133,danofloxacin,100,928,940
23127916,imatinib,266,274,100,23127916,imatinib,100,266,274
23152189,tcdd,687,691,100,23152189,tcdd,100,687,691
23168114,bzds,17,21,100,23168114,bzds,100,17,21
23172726,herboxidiene,41,53,100,23172726,herboxidiene,100,41,53
23182087,nk0139a,622,629,100,23182087,nk0139a,100,622,629
23166012,ctac,760,764,100,23166012,ctac,100,760,764
23195733,hydroxyquinolines,165,182,100,23195733,hydroxyquinolines,100,165,182
23020787,verapamil,794,803,100,23020787,verapamil,100,794,803
23065141,dcpa,646,650,100,23065141,dcpa,100,646,650
23111348,thymol,0,6,100,23111348,thymol,100,0,6
23146755,bapta am,1150,1158,100,23146755,bapta am,100,1150,1158
22424051,terpenes,240,248,100,22424051,terpenes,100,240,248
23159886,glutathione,143,154,100,23159886,glutathione,100,143,154
23159885,carboxylic acids,201,217,100,23159885,carboxylic acids,100,201,217
23256625,gsk1292263,921,931,100,23256625,gsk1292263,100,921,931
23157634,glutamate,1058,1067,100,23157634,glutamate,100,1058,1067
23186588,dexamethasone,994,1007,100,23186588,dexamethasone,100,994,1007
22995584,epothilones,1272,1283,100,22995584,epothilones,100,1272,1283
22995584,epothilone b,161,173,100,22995584,epothilone b,100,161,173
23253427,iron carbonyl with,628,646,84,23253427,iron carbonyl,84,628,641
23240979,opes,1219,1223,100,23240979,opes,100,1219,1223
23229057,cucl,74,78,100,23229057,cucl,100,74,78
23220618,hyperoside,785,795,100,23220618,hyperoside,100,785,795
23093494,ethanol,520,527,100,23093494,ethanol,100,520,527
23141427,acetonitrile,966,978,100,23141427,acetonitrile,100,966,978
23178257,vitamin d,1174,1183,100,23178257,vitamin d,100,1174,1183
23146698,sweroside,1183,1192,100,23146698,sweroside,100,1183,1192
23244162,pvp,164,167,100,23244162,pvp,100,164,167
23201371,vitamins b,36,46,100,23201371,vitamins b,100,36,46
23201371,nlx,1062,1065,100,23201371,nlx,100,1062,1065
23234434,dmec,1357,1361,100,23234434,dmec,100,1357,1361
23210777,taxol,0,5,100,23210777,taxol,100,0,5
23164616,ethanol,1285,1292,100,23164616,ethanol,100,1285,1292
23136062,sn iv,76,81,91,23136062,sn iv ,91,76,82
23256531,ctab,1890,1894,100,23256531,ctab,100,1890,1894
23161873,fructose fed,838,850,80,23161873,fructose,80,838,846
22429027,xanthohuskisides a,40,58,94,22429027,xanthohuskisides,94,40,56
22352409,glucoraphanin,487,500,100,22352409,glucoraphanin,100,487,500
23246797,pioglitazone,1490,1502,100,23246797,pioglitazone,100,1490,1502
23020787,gemifloxacin,173,185,100,23020787,gemifloxacin,100,173,185
23164713,na255,269,274,100,23164713,na255,100,269,274
22381584,glutamate,2317,2326,100,22381584,glutamate,100,2317,2326
22995439,fe 3 o 4 nps,1082,1095,86,22995439,fe 3 o 4 ,86,1082,1091
23073075,nmda,765,769,100,23073075,nmda,100,765,769
22901687,oleuropein,620,630,100,22901687,oleuropein,100,620,630
23123662,copper,1359,1365,100,23123662,copper,100,1359,1365
23183177,digitonin,1032,1041,100,23183177,digitonin,100,1032,1041
23026138,methamphetamine,1574,1589,100,23026138,methamphetamine,100,1574,1589
22749926,nicotine,729,737,100,22749926,nicotine,100,729,737
23147033,lactic acid,1323,1334,100,23147033,lactic acid,100,1323,1334
23135549,cd,1206,1208,100,23135549,cd,100,1206,1208
23246797,polyvinyl acetate,884,901,100,23246797,polyvinyl acetate,100,884,901
23086182,dichlorodiphenyltrichloroethane,172,203,100,23086182,dichlorodiphenyltrichloroethane,100,172,203
23232079,citalopram,189,199,100,23232079,citalopram,100,189,199
23246578,indomethacin,796,808,100,23246578,indomethacin,100,796,808
23199989,2 5 dimethyl 4 hydroxy 3 2h furanone,705,742,100,23199989,2 5 dimethyl 4 hydroxy 3 2h furanone,100,705,742
22989414,withaferin,1455,1465,91,22989414,withaferin a,91,1455,1467
22966073,core cysteine,1111,1124,76,22966073,cysteine,76,1116,1124
22902308,metformin,577,586,100,22902308,metformin,100,577,586
23053666,platinum,764,772,100,23053666,platinum,100,764,772
23065141,3 4 dichloroaniline,1043,1062,100,23065141,3 4 dichloroaniline,100,1043,1062
23099502,deoxynivalenol,1301,1315,100,23099502,deoxynivalenol,100,1301,1315
23123249,nitrophenyl isopropyl methylphosphonate,958,997,100,23123249,nitrophenyl isopropyl methylphosphonate,100,958,997
22940000,adenosine,239,248,100,22940000,adenosine,100,239,248
23136062,ga 3 ,879,885,71,23136062, 68 ga 3 ,71,874,885
23201180,fenamiphos,0,10,100,23201180,fenamiphos,100,0,10
23187618,silanols,802,810,100,23187618,silanols,100,802,810
23197773,am4054,1823,1829,100,23197773,am4054,100,1823,1829
23122120,neu5ac,1006,1012,100,23122120,neu5ac,100,1006,1012
23047828,cortisol,90,98,100,23047828,cortisol,100,90,98
22491024,lsp1,913,917,62,22491024,lsp1 2111,62,913,922
22732147,melamine,0,8,100,22732147,melamine,100,0,8
23201337,oxytocin,1324,1332,100,23201337,oxytocin,100,1324,1332
23084046,tio 2 ,1340,1346,100,23084046,tio 2 ,100,1340,1346
22989414,withaferin,1534,1544,91,22989414,withaferin a,91,1534,1546
23179409,atrazine,705,713,100,23179409,atrazine,100,705,713
23250808,azone,555,560,100,23250808,azone,100,555,560
23182739,flavonoids,131,141,100,23182739,flavonoids,100,131,141
22998295,β cyclodextrin,82,96,100,22998295,β cyclodextrin,100,82,96
22591127,c16 0,635,640,100,22591127,c16 0,100,635,640
23199996,s,102,103,100,23199996,s,100,102,103
22910795,hg 2 ,356,362,100,22910795,hg 2 ,100,356,362
22935511,cocaine,620,627,100,22935511,cocaine,100,620,627
22079313,dha,376,379,100,22079313,dha,100,376,379
22905673,phyllocontin,453,465,100,22905673,phyllocontin,100,453,465
23017407,flavonoid,868,877,100,23017407,flavonoid,100,868,877
22856387,tm 25659,644,652,100,22856387,tm 25659,100,644,652
23237835,eets,193,197,100,23237835,eets,100,193,197
23247545,hg,571,573,100,23247545,hg,100,571,573
23252846,ybco,251,255,100,23252846,ybco,100,251,255
23228886,thp,356,359,100,23228886,thp,100,356,359
23022048,gaba,421,425,100,23022048,gaba,100,421,425
22884111,zno ns,391,397,67,22884111,zno,67,391,394
22301815,endosulfan,1089,1099,100,22301815,endosulfan,100,1089,1099
23093494,ethanol,389,396,100,23093494,ethanol,100,389,396
23168115,5 ht,466,470,100,23168115,5 ht,100,466,470
23089250,se,1869,1871,100,23089250,se,100,1869,1871
23175103,co 3 ,1357,1363,100,23175103,co 3 ,100,1357,1363
22273350,curcumenol,565,575,100,22273350,curcumenol,100,565,575
23135241,sibutramine,904,915,100,23135241,sibutramine,100,904,915
22835278,testosterone,504,516,100,22835278,testosterone,100,504,516
23230905,au,279,281,100,23230905,au,100,279,281
22878908,tzd,420,423,100,22878908,tzd,100,420,423
23245695,malignant cells,73,88,25,23245695,cisplatin,25,74,83
23111803,thiram,1106,1112,100,23111803,thiram,100,1106,1112
23177260,gsh,773,776,100,23177260,gsh,100,773,776
23179409,atrazine,115,123,100,23179409,atrazine,100,115,123
22749926,nicotine,859,867,100,22749926,nicotine,100,859,867
22348222,monoterpene hydrocarbons,500,524,100,22348222,monoterpene hydrocarbons,100,500,524
22910795,hg 2 ,614,620,100,22910795,hg 2 ,100,614,620
23143912,zeolite,442,449,100,23143912,zeolite,100,442,449
23152189,atp,1179,1182,100,23152189,atp,100,1179,1182
23220035,dehp,628,632,100,23220035,dehp,100,628,632
22951949,dedtc,1467,1472,100,22951949,dedtc,100,1467,1472
23229057,pta,180,183,100,23229057,pta,100,180,183
22765351,thioxodipeptides,0,16,100,22765351,thioxodipeptides,100,0,16
23147987,polychlorinated biphenyls,42,67,100,23147987,polychlorinated biphenyls,100,42,67
22757667,p cymene,653,661,100,22757667,p cymene,100,653,661
22995584,epothilones,1603,1614,100,22995584,epothilones,100,1603,1614
23194532,ccl 4 ,490,496,100,23194532,ccl 4 ,100,490,496
23254198,bza,337,340,100,23254198,bza,100,337,340
23210742,cis aca,823,830,100,23210742,cis aca,100,823,830
23228886,thp,1143,1146,100,23228886,thp,100,1143,1146
23169610,3 methylcholanthrene,0,20,100,23169610,3 methylcholanthrene,100,0,20
23202372,oxides,286,292,100,23202372,oxides,100,286,292
23206276,ag,1131,1133,100,23206276,ag,100,1131,1133
23201051,stearoyl peg polysdm,672,692,100,23201051,stearoyl peg polysdm,100,672,692
23178681,h 2 o 2 ,453,461,100,23178681,h 2 o 2 ,100,453,461
22966073,core cysteine,1071,1084,76,22966073,cysteine,76,1076,1084
23208822,tartaric acid,113,126,100,23208822,tartaric acid,100,113,126
22236017,terpineol,395,404,100,22236017,terpineol,100,395,404
23199996,fe,121,123,100,23199996,fe,100,121,123
23122121,triterpenic acids,1387,1404,100,23122121,triterpenic acids,100,1387,1404
22591127,myristic,646,654,100,22591127,myristic,100,646,654
23220618,img,1079,1082,100,23220618,img,100,1079,1082
22765351,atk,919,922,100,22765351,atk,100,919,922
23199987,tryptamine,433,443,100,23199987,tryptamine,100,433,443
23084046,tio 2 ,151,157,100,23084046,tio 2 ,100,151,157
22968082,d amphetamine,911,924,100,22968082,d amphetamine,100,911,924
22876943,chalcones,707,716,100,22876943,chalcones,100,707,716
23187618,mcm 41,176,182,100,23187618,mcm 41,100,176,182
23197773,dopamine,938,946,100,23197773,dopamine,100,938,946
23247545,cu,583,585,100,23247545,cu,100,583,585
22273350,sesquiterpenes,216,230,100,22273350,sesquiterpenes,100,216,230
22872142,amalgams,726,734,100,22872142,amalgams,100,726,734
22335586,oral risperidone,16,32,81,22335586,risperidone,81,21,32
23256531,ctac,1989,1993,100,23256531,ctac,100,1989,1993
22899102,glutathione,1459,1470,81,22899102,bpde glutathione,81,1454,1470
23182739,phenolic acids,103,117,100,23182739,phenolic acids,100,103,117
23238226,si 111,81,87,50,23238226,si,50,81,83
23220618,hyperoside,988,998,100,23220618,hyperoside,100,988,998
22400496,terpenoid,214,223,100,22400496,terpenoid,100,214,223
23127499,5 hydroxyuracil,1558,1573,100,23127499,5 hydroxyuracil,100,1558,1573
23052191,melamine,396,404,100,23052191,melamine,100,396,404
22878908,tzd,1149,1152,100,22878908,tzd,100,1149,1152
23103351,midazolam,867,876,100,23103351,midazolam,100,867,876
23135549,cd,1421,1423,100,23135549,cd,100,1421,1423
22761031,aur,62,65,100,22761031,aur,100,62,65
22410778,atp,1591,1594,100,22410778,atp,100,1591,1594
23146750,bisphenol,624,633,100,23146750,bisphenol,100,624,633
23089250,se,227,229,100,23089250,se,100,227,229
23244594,c 12 φc 12,564,574,95,23244594,c 12 φc 12 ,95,564,575
23086037,metformin,1513,1522,100,23086037,metformin,100,1513,1522
23042952,glycosyl rsvs,488,501,100,23042952,glycosyl rsvs,100,488,501
23089250,hg,238,240,100,23089250,hg,100,238,240
22708639,pge2,582,586,100,22708639,pge2,100,582,586
23060411,polyphosphates,569,583,100,23060411,polyphosphates,100,569,583
23055540,ino 8875,798,806,100,23055540,ino 8875,100,798,806
23159986,creatinine,515,525,100,23159986,creatinine,100,515,525
22056334,dioxins,938,945,100,22056334,dioxins,100,938,945
22951949,dedtc,1339,1344,100,22951949,dedtc,100,1339,1344
23197773,win55 212 2,1831,1842,100,23197773,win55 212 2,100,1831,1842
23199996,zn,113,115,100,23199996,zn,100,113,115
23127600,dimethyldiguanide,435,452,100,23127600,dimethyldiguanide,100,435,452
22981796,cu,850,852,100,22981796,cu,100,850,852
22871218,ginsenosides,135,147,100,22871218,ginsenosides,100,135,147
23201179,avt,1161,1164,100,23201179,avt,100,1161,1164
23122111, ca 2 i,668,678,83,23122111,ca 2 ,83,669,675
22982248,nmda,1209,1213,100,22982248,nmda,100,1209,1213
23026138,sulfotransferase,0,16,26,23026138,methamphetamine,26,0,15
23237860,aldehydes,186,195,100,23237860,aldehydes,100,186,195
23065531, 18 f dpa 714,0,14,100,23065531, 18 f dpa 714,100,0,14
23178950,dox,115,118,100,23178950,dox,100,115,118
23111803,difenoconazole,1598,1612,100,23111803,difenoconazole,100,1598,1612
23135241,noradrenaline,653,666,100,23135241,noradrenaline,100,653,666
22664304,glutamate,476,485,100,22664304,glutamate,100,476,485
23061623,flavonoids,259,269,100,23061623,flavonoids,100,259,269
22967140,2 3 bis 4 hydroxyphenyl propionitrile,662,700,100,22967140,2 3 bis 4 hydroxyphenyl propionitrile,100,662,700
23205740,sarin,860,865,100,23205740,sarin,100,860,865
23177260,trimethyltin,1257,1269,100,23177260,trimethyltin,100,1257,1269
22352409,sulforaphane,505,517,100,22352409,sulforaphane,100,505,517
23143926,metabolically,127,140,9,23143926,nsc 710305,9,127,137
23200943,progesterone,998,1010,100,23200943,progesterone,100,998,1010
23220616,hypotaurine,479,490,100,23220616,hypotaurine,100,479,490
22719017,idazoxan,1350,1358,100,22719017,idazoxan,100,1350,1358
23168115,mechanisms,15,25,32,23168115,serotonin,32,14,23
23164619,methyllycaconitine,604,622,100,23164619,methyllycaconitine,100,604,622
23142559,4 damp,652,658,100,23142559,4 damp,100,652,658
23055540,ino 8875,1144,1152,100,23055540,ino 8875,100,1144,1152
23142073,molecular weight,25,41,16,23142073,saxitoxin,16,29,38
23123249,nimp,999,1003,100,23123249,nimp,100,999,1003
22837389,estradiol,593,602,100,22837389,estradiol,100,593,602
23022324,sodium arsenite,341,356,100,23022324,sodium arsenite,100,341,356
23219683,fe,808,810,100,23219683,fe,100,808,810
23123771,proline,248,255,100,23123771,proline,100,248,255
23123249,sarin,1005,1010,100,23123249,sarin,100,1005,1010
23165155,ddt,849,852,100,23165155,ddt,100,849,852
23252553,β lactamases,33,45,25,23252553,boronic acid,25,32,44
23179775,hydrocortisone,1059,1073,100,23179775,hydrocortisone,100,1059,1073
23165858,co,578,580,100,23165858,co,100,578,580
22273350,β caryophyllene,323,338,100,22273350,β caryophyllene,100,323,338
22765351,ala thio arg atr,61,78,86,22765351,ala thio arg,86,61,73
23219702, sattabacin,309,323,100,23219702, sattabacin,100,309,323
23123249,sarin,610,615,100,23123249,sarin,100,610,615
22847135,naringin,512,520,100,22847135,naringin,100,512,520
23159885,aldehydes,168,177,100,23159885,aldehydes,100,168,177
23220609,parabens,927,935,100,23220609,parabens,100,927,935
23238103,estradiol,1254,1263,100,23238103,estradiol,100,1254,1263
22722774,salicylic acid,18,32,100,22722774,salicylic acid,100,18,32
23108036,arsenic,1101,1108,100,23108036,arsenic,100,1101,1108
23135549,cd,694,696,100,23135549,cd,100,694,696
23146664,5 asa,759,764,100,23146664,5 asa,100,759,764
23179349,nitric oxide,578,590,100,23179349,nitric oxide,100,578,590
23220041,oleate,498,504,100,23220041,oleate,100,498,504
23150493,fatty acids,508,519,100,23150493,fatty acids,100,508,519
23058251,imidacloprid,623,635,100,23058251,imidacloprid,100,623,635
23160480,phenyalanine,710,722,100,23160480,phenyalanine,100,710,722
22348222,α pinene,351,359,100,22348222,α pinene,100,351,359
23103569,h2s,18,21,100,23103569,h2s,100,18,21
23042952,trans 3 5 4 trihydroxystilbene,13,44,100,23042952,trans 3 5 4 trihydroxystilbene,100,13,44
23123249,effects of,34,44,13,23123249,oxime,13,35,40
23153618,stearic acid,353,365,100,23153618,stearic acid,100,353,365
22887780,25 ohd,1579,1585,100,22887780,25 ohd,100,1579,1585
22335586,ers,788,791,60,22335586,ers 100,60,788,795
23089250,hg,1371,1373,100,23089250,hg,100,1371,1373
22910795,mercury,0,7,100,22910795,mercury,100,0,7
23132629, 15 n nmr,197,206,71,23132629, 15 n,71,197,202
23180693,co,485,487,100,23180693,co,100,485,487
22856387,taz modulator,55,68,19,22856387,tm 25659,19,60,68
23190093,nca,157,160,100,23190093,nca,100,157,160
23235690,layers,77,83,15,23235690,lithium,15,81,88
23089250,se,2218,2220,100,23089250,se,100,2218,2220
23231420,pmpts,1070,1075,100,23231420,pmpts,100,1070,1075
